1	и	и	CCONJ	_	_	_	_	_	@mp1984m-words#@mp1984m#0.0#0.388
2	поняло	понять	VERB	_	Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@mp1984m-words#@mp1984m#0.388#0.776
3	это	это	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@mp1984m-words#@mp1984m#0.776#1.164
4	так	так	ADV	_	Degree=Pos	_	_	_	@mp1984m-words#@mp1984m#1.164#1.552
5	как	как	SCONJ	_	_	_	_	_	@mp1984m-words#@mp1984m#1.552#1.94
6	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@mp1984m-words#@mp1984m#1.94#2.33
7	#одновременно#	#одновременно#	PUNCT	_	_	_	_	_	@mp1984m-words#@mp1984m#4.85#5.394
8	соцсети	соцсеть	NOUN	_	Animacy=Anim|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@mp1984m-words#@mp1984m#5.394#5.938
9	это	это	PART	_	_	_	_	_	@mp1984m-words#@mp1984m#5.938#6.482
10	не	не	PART	_	_	_	_	_	@mp1984m-words#@mp1984m#6.482#7.026
11	показатель	показатель	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@mp1984m-words#@mp1984m#7.026#7.57
12	соцсети	соцсеть	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@mp1984m-words#@mp1984m#7.57#7.851
13	это	это	PART	_	_	_	_	_	@mp1984m-words#@mp1984m#7.851#8.132
14	не	не	PART	_	_	_	_	_	@mp1984m-words#@mp1984m#8.132#8.413
15	это	это	PART	_	_	_	_	_	@mp1984m-words#@mp1984m#8.413#8.694
16	не	не	PART	_	_	_	_	_	@mp1984m-words#@mp1984m#8.694#8.975
17	статистика	статистика	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@mp1984m-words#@mp1984m#8.975#9.256
18	/	/	PUNCT	_	_	_	_	_	@mp1984m-words#@mp1984m#9.256#9.537
19	это	это	PART	_	_	_	_	_	@mp1984m-words#@mp1984m#9.537#9.818
20	не	не	PART	_	_	_	_	_	@mp1984m-words#@mp1984m#9.818#10.099
21	социология	социология	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@mp1984m-words#@mp1984m#10.099#10.38
22	/	/	PUNCT	_	_	_	_	_	@mp1984m-words#@mp1984m#10.38#10.661
23	это	это	PART	_	_	_	_	_	@mp1984m-words#@mp1984m#10.661#10.942
24	просто	просто	PART	_	_	_	_	_	@mp1984m-words#@mp1984m#10.942#11.223
25	какой-то	какой-то	PRON	_	Case=Nom|Gender=Masc|Number=Sing	_	_	_	@mp1984m-words#@mp1984m#11.223#11.504
26	пиздеж	пиздеж	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@mp1984m-words#@mp1984m#11.504#11.785
27	в	в	ADP	_	_	_	_	_	@mp1984m-words#@mp1984m#11.785#12.066
28	соцсетях	соцсеть	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Plur	_	_	_	@mp1984m-words#@mp1984m#12.066#12.347
29	и	и	CCONJ	_	_	_	_	_	@mp1984m-words#@mp1984m#12.347#12.628
30	все	весь	DET	_	Case=Nom|Number=Plur	_	_	_	@mp1984m-words#@mp1984m#12.628#12.91
31	#одновременно#	#одновременно#	PUNCT	_	_	_	_	_	@mp1984m-words#@mp1984m#17.38#17.83
32	при	при	ADP	_	_	_	_	_	@mp1984m-words#@mp1984m#17.83#18.28
33	чем	что	PRON	_	Case=Loc	_	_	_	@mp1984m-words#@mp1984m#18.28#18.73
34	при	при	ADP	_	_	_	_	_	@mp1984m-words#@mp1984m#18.73#19.18
35	чем	что	PRON	_	Case=Loc	_	_	_	@mp1984m-words#@mp1984m#19.18#19.63
36	здесь	здесь	ADV	_	Degree=Pos	_	_	_	@mp1984m-words#@mp1984m#19.63#20.08
37	Навальный	Навальный	PROPN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@mp1984m-words#@mp1984m#20.08#20.53
38	Навальный	Навальный	PROPN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@mp1984m-words#@mp1984m#20.53#20.98
39	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@mp1984m-words#@mp1984m#27.82#28.198
40	щас	сейчас	ADV	_	Degree=Pos	_	_	_	@mp1984m-words#@mp1984m#28.198#28.576
41	пытаешься	пытаться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	@mp1984m-words#@mp1984m#28.576#28.954
42	куда-то	куда-то	ADV	_	Degree=Pos	_	_	_	@mp1984m-words#@mp1984m#28.954#29.332
43	съехать	съехать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	@mp1984m-words#@mp1984m#29.332#29.71
44	опять	опять	ADV	_	Degree=Pos	_	_	_	@mp1984m-words#@mp1984m#29.71#30.09
45	откуда	откуда	ADV	_	Degree=Pos	_	_	_	@mp1984m-words#@mp1984m#31.3#31.585
46	у	у	ADP	_	_	_	_	_	@mp1984m-words#@mp1984m#31.585#31.87
47	тебя	ты	PRON	_	Case=Gen|Number=Sing|Person=2	_	_	_	@mp1984m-words#@mp1984m#31.87#32.155
48	данные	данные	NOUN	_	Animacy=Inan|Case=Acc|Number=Plur	_	_	_	@mp1984m-words#@mp1984m#32.155#32.44
49	что	что	PRON	_	Case=Acc	_	_	_	@mp1984m-words#@mp1984m#32.44#32.725
50	/	/	PUNCT	_	_	_	_	_	@mp1984m-words#@mp1984m#32.725#33.01
51	там	там	ADV	_	Degree=Pos	_	_	_	@mp1984m-words#@mp1984m#33.01#33.295
52	все	все	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@mp1984m-words#@mp1984m#33.295#33.58
53	решили	решить	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@mp1984m-words#@mp1984m#33.58#33.865
54	что	что	SCONJ	_	_	_	_	_	@mp1984m-words#@mp1984m#33.865#34.15
55	русский	русский	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@mp1984m-words#@mp1984m#34.15#34.435
